COM COD,Course ID,Course title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,Midsem date,Compre date
2856,AN F221,PRODUCTION TECHNIQUES,2 1 3,L1,NITIN TOM MATHEW,206,T89 W8,31.03.2026 AN,04.06.2026 AN
,,Practical,,P1,Nitin Tom Mathew,MG1,M56,,
2421,AN F312,AIRCRAFT PROPULSION,3 0 3,L1,SONU THOMAS,262,T1 Th34,06.04.2026 FN,02.06.2026 FN
2424,AN F315,AIRCRAFT STRUCTURES,3 0 3,L1,PRIYANK UPADHYAYA,206,W34 Th34,01.04.2026 AN,05.06.2026 FN
2666,AUE F241,ARCHITECTURAL DESIGN STUDIO I,3,L1,MEGHANA CHARDE,272,T56 Th56,30.03.2026 AN,01.06.2026 AN
2667,AUE F242,BUILDING CONSTRUCTION & TECHONOLOGY,3,L1,KANCHAN SEN SHARMA,272,M12 Th34,31.03.2026 AN,04.06.2026 AN
2668,AUE F243,CONSTRUCTION ECONOMICS,3 0 3,L1,NEENU THOMAS,272,M45 W56,02.04.2026 AN,06.06.2026 AN
2693,BBA F121,BUSINESS ETHIC & CORP SOC RESP,3 0 3,L1,DARSHITA GUNWANT,183,W23 F23,30.03.2026 FN,01.06.2026 FN
2858,BBA F122,FUNDAMENTALS OF BUSINESS STATISTICS,3 0 3,L1,AMAN SRIVASTAVA,183,W89 Th56,02.04.2026 FN,05.06.2026 FN
2695,BBA F221,HUMAN RESOURCE MANAGEMENT,3 0 3,L1,YUSRA QAMAR,185,W89 Th56,31.03.2026 AN,04.06.2026 AN
2696,BBA F222,BUSINESS LAW AND COMPLIANCE,3 0 3,L1,AQILA BEGUM,185,M12 T89,07.04.2026 AN,09.06.2026 AN
2735,BBA F266,STUDY PROJECT,3,,SARTAJ RASOOL RATHER,,,,
2863,BIO F101,INTRODUCTION TO BIOLOGICAL SCIENCES,2 1 3,,NEERU SOOD,,,02.04.2026 FN,08.06.2026 FN
,,,,L1,Arunkumar Palaniappan,101,W7 F12,,
,,,,L2,Debostuti Ghoshdastidar,105,T78 W5,,
,,,,L3,Debapriya Sarkar,165,M12 Th7,,
,,,,L4,TBA,184,W5 F12,,
,,,,L5,Lab Instructor,186,W5 Th12,,
,,,,L6,Aditya Sharma,189,M1 W5 F2,,
,,,,L7,Divagar Murugan,190,M12 W5,,
,,Practical,,P1,Lab Instructor,306,M12,,
,,,,P2,Lab Instructor,307,M12,,
,,,,P3,Lab Instructor,306,M78,,
,,,,P4,Lab Instructor,306,T12,,
,,,,P5,Lab Instructor,307,T12,,
,,,,P6,Neeru Sood,306,T34,,
,,,,P7,Lab Instructor,307,T34,,
,,,,P8,Lab Instructor,306,W12,,
,,,,P9,Lab Instructor,307,W12,,
,,,,P10,Lab Instructor,306,W78,,
,,,,P11,Lab Instructor,307,W78,,
,,,,P12,Lab Instructor,306,Th12,,
,,,,P13,Lab Instructor,307,Th12,,
,,,,P14,Lab Instructor,306,Th78,,
,,,,P15,Lab Instructor,307,Th78,,
,,,,P16,Lab Instructor,306,F12,,
,,,,P17,Lab Instructor,307,F12,,
,,,,P18,Lab Instructor,306,F34,,
,,,,P19,Lab Instructor,307,F34,,
