COM COD,Course ID,Course title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,Midsem date,Compre date
2424,AN F315,AIRCRAFT STRUCTURES,3 0 3,1,PRIYANK UPADHYAYA,267,M5 T8 W1,07.04.2023 FN,06.06.2023 FN
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,1,D J SHARIFF,307,M34,,
,,,,2,Pallab Sanpui,307,M89,,
,,,,3,D J Shariff,307,T34,,
,,,,4,Neeru Sood,307,W12,,
,,,,5,Mainak Dutta,307,W89,,
,,,,6,Neeru Sood,307,Th34,,
,,,,7,D J Shariff,307,Th89,,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,1,NEERU SOOD,101,M5 T6 Th1 F2,04.04.2023 FN,30.05.2023 FN
,,,,2,D J Shariff,123,M1 T6 W2 F2,,
,,,,3,S Ramachandran,165,M5 T6 Th1 F2,,
1359,BIOT F241,GENETIC ENGINEERING TECH,1 3 4,1,PALLAB SANPUI,226,M1,04.04.2023 AN,30.05.2023 AN
,,Practical,,1,Pallab Sanpui/ Trupti Ghokhale,307,T789,,
,,,,1,Pallab Sanpui/ Ramachandran,307,W345,,
1103,BIOT F243,GENETICS,3 0 3,1,TRUPTI GOKHALE,226,M5 T1 Th7 F3,05.04.2023 AN,31.05.2023 AN
1361,BIOT F244,INSTRU METHODS OF ANALYSIS,1 3 4,1,MAINAK DUTTA,226,M4,10.04.2023 AN,06.06.2023 AN
,,,,1,Trupti Gokhale/ Mainak Dutta,308,M789,,
,,Practical,,1,Trupti Gokhale/ Mainak Dutta,308,Th345,,
1360,BIOT F245,INTRO TO ENVIRON BIOTECH,3 0 3,1,NEERU SOOD,226,M3 T4 W6 F4,06.04.2023 AN,05.06.2023 AN
1845,BIOT F266,STUDY PROJECT,3,1,NEERU SOOD,,,,
1364,BIOT F342,IMMUNOLOGY,3 0 3,1,MAINAK DUTTA,271,T3 W1 Th9 F2,03.04.2023 AN,29.05.2023 AN
1366,BIOT F344,DOWNSTREAM PROCESSING,2 1 3,1,S RAMACHANDRAN,271,M3 Th3,05.04.2023 AN,31.05.2023 AN
,,Practical,,1,S Ramachandran,305,F45,,
1843,BIOT F366,LABORATORY PROJECT,3,1,NEERU SOOD,,,,
1842,BIOT F367,LABORATORY PROJECT,3,1,NEERU SOOD,,,,
1841,BIOT F376,DESIGN PROJECT,3,1,NEERU SOOD,,,,
1840,BIOT F377,DESIGN PROJECT,3,1,NEERU SOOD,,,,
1374,BIOT F416,INTRO TO PHARMA BIOTECH,3 0 3,1,PALLAB SANPUI,271,M4 Th5 F3,04.04.2023 FN,30.05.2023 FN
1844,BIOT F491,SPECIAL PROJECT,3,1,NEERU SOOD,,,,
596,BITS C791T,TEACHING PRACTICE I,1,1,RAM KARTHIKEYAN,,,,
520,BITS C797T,PH D SEMINAR,2,1,RAM KARTHIKEYAN,,,,
553,BITS C799T,PH D THESIS,40,1,RAM KARTHIKEYAN,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,5,1,RAM KARTHIKEYAN,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,,MEGHANA S CHARDE,,,10.04.2023 FN,06.06.2023 FN
,,,,1,Akshay Venkateshwaran,101,T2,,
,,,,2,Meghana S Charde,165,M1,,
,,,,3,Meghana S Charde,123,T2,,
,,Practical,,1,Meghana S Charde,MS5,M89,,
,,,,2,Akshay Venkateshwaran,MS5,W34,,
,,,,3,Meghana S Charde,MS5,Th89,,
1004,BITS F111,THERMODYNAMICS,3 0 3,1,SHASHANK KHURANA,183,T1 W6 Th2 F4,05.04.2023 FN,31.05.2023 FN
,,,,2,Vincent Kumar,189,T1 W6 Th2 F4,,
,,,,3,Majid H Khan,190,T1 W6 Th2 F4,,
